level,word,pinyin,english
5,哎,āi,hey!; (interjection used to attract attention or to express surprise or disapprobation)
5,哎呀,āiyā,"interjection of wonder, shock or admiration"
5,唉,ài,alas; oh dear
5,爱护,àihù,to cherish;to take care of; to love and protect
5,安,ān,surname An; (bound form) calm; peaceful; to calm; to set at ease; safe; secure; in good health; content; satisfied (as in 安于); to place (sb) in a suitable position (job); to install; to fix; to fit; to bring (a charge against sb); to harbor (certain intentions); ampere (abbr. for 培)
5,安装,ānzhuāng,to install; to erect; to fix; to mount; installation
5,暗,àn,variant of 暗; dark; to turn dark; secret; hidden; (literary) confused; ignorant; (literary) to close (a door); to eclipse; confused; ignorant (variant of 暗); dark (variant of 暗)
5,熬夜,áoyè,to stay up late or all night
5,把握,bǎwò,to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome)
5,白,bái,surname Bai; white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera
5,半夜,bànyè,midnight; in the middle of the night
5,傍晚,bàngwǎn,in the evening; when night falls; towards evening; at night fall; at dusk
5,包裹,bāoguǒ,to wrap up; to bind up; bundle; parcel; package
5,包含,bāohán,to contain; to embody; to include
5,包括,bāokuò,to comprise; to include; to involve; to incorporate; to consist of
5,薄,báo,thin; cold in manner; indifferent; weak; light; infertile
5,宝,bǎo,variant of 宝; jewel; gem; treasure; precious
5,保,bǎo,protect; ensure; preserve; keep; guarantee; assure; promise
5,保安,bǎo’ān,to ensure public security; to ensure safety (for workers engaged in production); public security; security guard
5,宝贝,bǎobèi,treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character
5,保持,bǎochí,to keep; to maintain; to hold; to preserve
5,保存,bǎocún,to conserve; to preserve; to keep; to save (a file etc) (computing)
5,保留,bǎoliú,to keep; to retain; to have reservations (about sth); to hold back (from saying sth); to put aside for later
5,保险,bǎoxiǎn,insurance; to insure; safe; secure; be sure; be bound to
5,保质期,bǎozhìqī,shelf life; expiration date
5,报到,bàodào,to report for duty; to check in; to register
5,报道,bàodào,to report (news); report
5,报告,bàogào,to inform; to report; to make known; report; speech; talk; lecture
5,报警,bàojǐng,to sound an alarm; to report sth to the police
5,暴雨,bàoyǔ,torrential rain; rainstorm
5,抱怨,bàoyuàn,to complain; to grumble; to harbor a complaint; to feel dissatisfied
