level,word,pinyin,english
4,啊,ā,interjection of surprise; Ah!; Oh!
4,爱情,àiqíng,romance; love (romantic)
4,爱心,àixīn,"compassion; kindness; care for others; love; charity (bazaar, golf day etc); heart (the symbol ♥)"
4,安检,ānjiǎn,security check
4,安排,ānpái,to arrange; to plan; to set up; arrangements; plans
4,按照,ànzhào,according to; in accordance with; in the light of; on the basis of
4,白酒,báijiǔ,"baijiu, a spirit usually distilled from sorghum; (Tw) white wine (abbr. for 酒)"
4,办公,bàngōng,to handle official business; to work (esp. in an office)
4,办理,bànlǐ,to handle; to transact; to conduct
4,办事,bànshì,to handle (affairs); to work
4,棒,bàng,stick; club; cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race
4,保护,bǎohù,to protect; to defend; to safeguard; protection
4,保证,bǎozhèng,guarantee; to guarantee; to ensure; to safeguard; to pledge
4,抱,bào,to hold; to carry (in one's arms); to hug; to embrace; to surround; to cherish; (coll.) (of clothes) to fit nicely
4,报考,bàokǎo,to enter oneself for an examination
4,抱歉,bàoqiàn,to be sorry; to feel apologetic; sorry!
4,背,bēi,variant of 背; to be burdened; to carry on the back or shoulder
4,背包,bēibāo,backpack
4,北部,běibù,northern part
4,倍,bèi,"(two, three etc) -fold; times (multiplier); double; to increase or multiply"
4,本科,běnkē,undergraduate course; undergraduate (attributive)
4,本来,běnlái,original; originally; at first; it goes without saying; of course
4,鼻子,bízi,nose
4,笔试,bǐshì,written examination; paper test (for an applicant)
4,毕业,bìyè,graduation; to graduate; to finish school
4,毕业生,bìyèshēng,graduate
4,便于,biànyú,easy to; convenient for
4,标准,biāozhǔn,standard; norm; criterion; (adjective) standard; good; correct; conforming to a standard
4,表,biǎo,exterior surface; family relationship via females; to show (one's opinion); a model; a table (listing information); a form; a meter (measuring sth); watch (timepiece); meter; gauge
4,表格,biǎogé,form; table
4,表示,biǎoshì,to express; to show; to say; to state; to indicate; to mean
4,表现,biǎoxiàn,to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc); behavior
4,表扬,biǎoyáng,to praise; to commend
4,饼干,bǐnggān,cookie; cracker
4,并,bìng,and; furthermore; also; together with; (not) at all; simultaneously; to combine; to join; to merge; to amalgamate; variant of 并
4,播放,bōfàng,to broadcast; to transmit (by radio or TV)
4,博士,bóshì,doctor; court academician (in feudal China); Ph.D.
4,不必,búbì,need not; does not have to; not necessarily
4,不便,búbiàn,inconvenient;
4,不断,búduàn,unceasing; uninterrupted; continuous; constant
4,不论,búlùn,"whatever; no matter what (who, how etc); regardless of; not to discuss"
4,步,bù,surname Bu; a step; a pace; walk; march; stages in a process; situation
