level,word,pinyin,english
7-9,挨,āi,in order; in sequence; close to; adjacent to
7-9,哀求,āiqiú,to entreat; to implore; to plead
7-9,挨,ái,suffer; endure; expose
7-9,癌,ái,cancer; carcinoma; also pr. [yán]
7-9,爱戴,àidài,to love and respect; love and respect
7-9,暧昧,àimèi,vague; ambiguous; equivocal; dubious
7-9,爱慕,àimù,admire and love
7-9,碍事,àishì,to be in the way; to be a hindrance; (usu. in the negative) to be of consequence; to matter
7-9,爱惜,àixī,to cherish; to treasure; to use sparingly
7-9,艾滋病,àizībìng,AIDS (loanword)
7-9,安定,āndìng,"Anting township in Tainan county 台南县, Taiwan; stable; calm; settled; to stabilize; Valium; diazepam"
7-9,安抚,ānfǔ,to placate; to pacify; to appease
7-9,安眠药,ānmiányào,sleeping pill
7-9,安宁,ānníng,"Anning District of Lanzhou City 兰州市, Gansu; Anning City, to the west of Kunming 明, Yunnan; peaceful; tranquil; calm; composed; free from worry"
7-9,安详,ānxiáng,serene
7-9,安心,ānxīn,at ease; to feel relieved; to set one's mind at rest; to keep one's mind on sth
7-9,安逸,ānyì,comfortable and happy; at ease
7-9,安置,ānzhì,to find a place for; to help settle down; to arrange for; to get into bed; placement
7-9,暗地里,àndìlǐ,secretly; inwardly; on the sly
7-9,案件,ànjiàn,case; instance
7-9,按理,ànlǐ,according to reason
7-9,按说,ànshuō,in the ordinary course of events; ordinarily; normally
7-9,暗中,ànzhōng,in the dark; in secret; on the sly; surreptitiously
7-9,凹,āo,depressed; sunken; indented; concave; female (connector etc)
7-9,熬,áo,to cook on a slow fire; to extract by heating; to decoct; to endure
7-9,傲,ào,proud; arrogant; to despise; unyielding; to defy
7-9,傲慢,àomàn,arrogant; haughty
7-9,奥秘,àomì,secret; mystery
7-9,扒,bā,to peel; to skin; to tear; to pull down; to cling to (sth on which one is climbing); to dig
7-9,疤,bā,scar; scab
7-9,巴不得,bābudé,(coll.) to be eager for; to long for; to look forward to
7-9,八成,bāchéng,eighty percent; most likely; eighty out of 100
7-9,八卦,bāguà,gossip; Eight Trigrams; (Internet slang) rumors; gossip
7-9,巴结,bājie,to fawn on; to curry favor with; to make up to
7-9,巴掌,bāzhang,palm of hand
7-9,拔,bá,to pull up; to pull out; to draw out by suction; to select; to pick; to stand out (above level); to surpass; to seize
7-9,把柄,bǎbǐng,handle; (fig.) information that can be used against sb
7-9,把关,bǎguān,to guard the pass; to ensure; to vet
7-9,把手,bǎshou,handle; grip; knob
7-9,霸道,bàdào,"the Way of the Hegemon; abbr. for 霸王之道; despotic rule; rule by might; evil as opposed to the Way of the King 王道; overbearing; tyranny; (of liquor, medicine etc) strong; potent"
7-9,罢工,bàgōng,a strike; to go on strike
7-9,罢了,bàle,"a modal particle indicating (that's all, only, nothing much)"
7-9,罢免,bàmiǎn,to remove sb from their post; to dismiss
7-9,罢休,bàxiū,to give up; to abandon (a goal etc); to let sth go; forget it; let the matter drop
7-9,霸占,bàzhàn,to occupy by force; to seize; to dominate
7-9,掰,bāi,to break off or break open sth with one's hands; (fig.) to break off (a relationship)
7-9,百般,bǎibān,in every way; in every possible way; in all sorts of ways
7-9,摆动,bǎidòng,to sway; to swing; to move back and forth; to oscillate
7-9,百分比,bǎifēnbǐ,percentage
7-9,百科全书,bǎikē quánshū,encyclopedia
7-9,摆平,bǎipíng,to be fair; to be impartial; to settle (a matter etc)
7-9,摆设,bǎishe,to arrange; furnishing; to put on airs; to pose
7-9,柏树,bǎishù,cypress tree; Taiwan pr. [bó shù]
7-9,败坏,bàihuài,to ruin; to corrupt; to undermine
7-9,拜会,bàihuì,(often used in the context of diplomacy) to meet with; to pay a visit to; to call on
7-9,拜见,bàijiàn,to pay a formal visit; to call to pay respects; to meet one's senior or superior
7-9,扳,bān,to pull; to turn (sth) around; to turn around (a situation); to recoup
7-9,颁布,bānbù,"to issue; to proclaim; to enact (laws, decrees etc)"
7-9,斑点,bāndiǎn,spot; stain; speckle
7-9,颁发,bānfā,to issue; to promulgate; to award
7-9,颁奖,bānjiǎng,to confer an award
7-9,斑马线,bānmǎxiàn,zebra crossing
7-9,搬迁,bānqiān,to move; to relocate; removal
